Number,StudentLevel,Timestamp,Transcript,Duration,Rating
19,Graduate,8/25/22 8:10,"Student: Is the Laptop Loan program still available
Librarian : Hi [name]
Student : hii
Student : wanted to know more about the laptop loaner program
Librarian : I'm afraid not - the university is currently out of laptops.
Student : okay, will it be available  in due time
Librarian : to be honest, I'm not sure - this program has been managed through the University Technology Office. This is all the information I have [link]
Librarian : the UTO Experience Center may have more information about their plans for the future
Student : okay no problems, i will be in touch with them shortly
Student : Thank You.
Librarian : you're welcome - good luck!
",188,4
20,Graduate,8/25/22 8:55,"Student: What is ASU Laptop Loan program?
Librarian : Hi [name], let me find that for you. Just one moment.
Librarian : Here is a website that explains the program [link]
Student : Do we have to pay for that?
Librarian : There is no charge, however due to increased demand for loaned devices, the Laptop Loan Program has reached max capacity and is no longer loaning out devices for the fall 2022 semester. 
Student : Oh!! my badluck :(
Librarian : I am sorry.  However, ASU has [link], available on every campus for students in need of IT resources across the University. Additionally, all computers available in [link]  are equipped with the same software that is available at ASU computing sites.
Student : Is there any probability that they will be available in near future?
Librarian : The lending program is run through ASU's university technology office. You can contact them at the [link].
Student : Thank You so much.
Student : And does library provide printing facility?
Librarian : You are welcome. Yes you can print at any of our libraries. [link]
Librarian : Is there anything else I can help you with today?
Librarian : Thanks for using the library Ask a Librarian service! Don't forget to save a copy of this transcript. We look forward to seeing you again!
Student : Do we have to pay for printing? Thank You so much for these info.
Librarian : Yes the cost is .12 cents per page for black and white print or copy in most locations. Color printing or copying is .50 cents. 
For ASU affiliates, Print Anywhere will charge your [link] account after releasing a print, copy, or scan from a Print Anywhere device.
Student : thank you. have a great day!!
",1269,4
21,Graduate,8/25/22 13:53,"Student: How to find PMBOOK in online Lirary
Student : How to Search PMBOOK in ASU Online library
Librarian : Hello. Let me check if we have it. 
Librarian : Is it a textbook? 
Student : yes
Student :[link]
Student : this is the link given by professor
Librarian : Unfortunately, the library does not purchase textbooks because of licensing. Here is some info: [link]
Librarian : It is in Knovel. let me check the database if we have access to it. 
Librarian : This is the link to the database: [link] 
Librarian : It looks like the book is called PMBOK not PMBook - is that right? 
Librarian : This is what I found under PMBOK: [link]
Librarian : So there are some results but I am not sure if we have the exact edition that you need. 
Librarian : I haven't heard
from you in several minutes, so I'm going to close this session. Please connect
to this service again if you need further assistance and don't forget to save a copy of this transcript. .
",625,2
22,Graduate,8/26/22 11:48,"Student: Hi,
I'm looking for a pdf version of one of the books, please
Librarian : We may or may not be able to get you a PDF version of a book. What is the book?
Student : Service-Oriented Computing
Student : ISBN: 9781792494178
Librarian : Let me check on that for you.
Student : Thanks
Librarian : Is this a textbook for one of your classes?
Student : Yes
Student : CSE-598
Librarian : We have the 2009 edition. [link]
Librarian : The library seldom buys textbooks.
Student : Is it the 7th edition?
Librarian : It does say. Let me check. It does appear to be completely open access:[link]
Librarian : 1st ed it looks like.
Librarian : Since I'm going by title (we don't have that ISBN paired with a book here) I can't be sure it's even the correct book. Are the authors the same?
Student : The author is Chen
Librarian : No, we definitely do not have the book you are looking for.
Student : Oh
Librarian : Sorry, you will need to go through the bookstore or other sources to get it. We will get just about anything for you, if we can, with the exception of textbooks.
Student : So no other option
Student : ok thanks
Librarian : Not through us. Sorry. We just can't do textbooks - there are over 100,000 students at ASU. We would not be able to buy books for every student, even if we did nothing else.
Student : I see
Librarian : You can often rent digital textbooks at a lower cost through the bookstore.
Student : Can you tell me how to download the complete book url you shared with me, please?
Librarian : Each publisher is different. I'm not sure, without downloading the book myself, how to do it. It should come with instructions.
Librarian : Here is the link for the ASU bookstore digital textbooks:[link]
Librarian : On this page, it looks like each chapter of the book is a PDF.
Librarian : So I assume you would just open and download each chapter, 1 at a time.
Librarian : [link]
Librarian : I'm done my shift. Did you want to keep working with a librarian? If so, I can hand off your question to a new person.
",1030,0
23,Graduate,8/29/22 9:52,"Student: What database do I use to check if an article is refereed?
Librarian : Hello [name].
Student : Hi [name]!
Librarian : There is one of our databases which is great for determining if a journal is peer-reviewed. It is named ""Ulrichsweb.com""
Librarian : [link]
Librarian : Do you have the name of the article? (citation)?
Librarian : Ulrichsweb.com: [link]
Student : Ah, that's the name! I've used it for one of my other classes before.  Thank you so much for your help!
Librarian : no problem.
Librarian : Our Library One Search (and many of our individual research databases) also has a limiter of ""Peer-Reviewed.""
Librarian : Do you need any additional assistance?
Librarian : Thank you for using the ASU Library's ""Ask a Librarian"" service. Good bye.
",310,0
24,Graduate,8/29/22 12:50,"Student: This is my first visit to Hayden Library. Where can I find the text book for my course ?
also I want to print documents.
Librarian : Hi [name]
Librarian : You can print to any ""Print Anywhere"" printer from either your laptop or the computer workstations
Librarian : let me find more info on that...
Librarian : [link]
Student : Where are those printer located?
Librarian : The library, for the most part, does not carry textbooks.  Was there a book for your class that was on Reserve?
Student : No, I haven't reserved any books yet.
Librarian : There are printers on LIB Concourse, Upper Concourse, Lower Level and Floors 1-4
Librarian : Most textbooks will need to be purchased, either through the ASU bookstore or another bookstore. You can search the ASU bookstore from this link, [link]
",221,0
25,Graduate,8/30/22 10:29,"Student: Hello, 
I am an incoming graduate fall student here at ASU and was wondering where to get all the details regarding getting started with the library. Could you please explain how the library at ASU works and can I get my academic books here in the library for free?
Librarian : Hi [name]! Welcome to ASU!
Student : Hello Librarian
Librarian : Here is a great starting place for graduate students to learn about the library [link]
Librarian : but I can certainly try to answer any specific questions you might have
Student : Yes, So Can I get my academic books here in the library for free, or do we need to pay?
Librarian : by academic books, do you mean the textbooks required in your courses?
Student : What were the other valuable resources available which will be useful for a graduate student
Student : Yes, Both textbooks and other reference book which I like to read
Librarian : well, first off, you will not have to pay anything to use books that are available in the library. you can search for books using our Library One Search portal, and anything you find there will be available to you for free
Librarian : you can check books out using your SunCard, and your library account is connected to your ASURITE id and password.
Student : Is there any timeline for returning the book once I checked out a book?
Librarian : Yes! but for graduate students, you can check books out for 1 year! [link]
Student : Great
Student : What were the other valuable resources available which will be useful for a graduate student
Librarian : I'd recommend taking a look at [link], which lists all the most useful resources
Librarian : and I always recommend our tutorials to strengthen your knowledge about research and using our resources [link]
Student : Fine, Thank you very much for helping me out
Librarian : You're welcome! please chat with us again if you have more questions!
Student : Sure! Have a good day
Librarian : you too
",634,0
26,Graduate,8/30/22 14:37,"Student: Can I get a part-time job in the library?
Librarian : Hello.Let me direct you to our ""Employment"" page. Just a moment.
Librarian : The student positions available at the ASU Library are listed at the bottom of this page: [Link]
Student : Thank you
Librarian : You're welcome. Do you need any additional assistance?
Librarian : Thank you for using the ASU Library's ""Ask a Librarian"" service.
Librarian : Good bye.
",348,4
27,Graduate,8/30/22 14:37,"Student: How to borrow books from the library.
Librarian : Hi [name]
Student : Hi [name]
Librarian : :)
Librarian : You can use our library catalog
Librarian : To see if we own a title, and its location
Librarian : Then you can request the book, and have it delievered to your nearest library for pick up
Student : Can you please provide me the link for catalog
Student : I am already at the hayden library
Librarian : Just need your student ID or drivers license to borrow the book
Student : I chose the book at the library itself
Librarian : [Link]
Librarian : What is the title? I can help you get the call or location number of the book
Librarian : Did that work, were you able to find the title of the book?
Librarian : Haven't heard from you in a while, are you still there?
Librarian : Good luck with you research and checking out the book :)
Librarian : Have a wonderful evening
",486,4
28,Graduate,8/30/22 15:39,"Student: I request you to please confirm if I can get a laptop for the fall 2022 semester. I need it urgently for a subject.
Librarian : Hi [name]. The ASU Library does not administer the laptop lending program. I can give you the info for UTO, but I believe they have ended the program. Just one moment - I encourage you to call them to follow up.
Student : Sure
Librarian : [Link]
Librarian : The number for the UTO Experience Center is on that page.
Librarian : ANything else I can help with today?
",134,0
29,Graduate,8/31/22 10:13,"Student: I got a book from tempe campus, can I drop it on west campus?
Librarian : Hello [name].
Librarian : Yes you may.  
Student : Hi [name]!
Student : And is there any way to extend it just 1/2 more days?
Librarian : Drop it off and they will send it to the library where you found it.
Librarian : Yes
Student : probably just to the end of this week
Student : Quantum mechanics : an introduction for device physicists and electrical engineers / [name] K. Ferry.	Ferry, [name] K.
Student : Can you please check if you can extend it till friday?
Librarian : You can renew materials online provided that someone hasn't placed a hold on it.
Student : it has been called probably
Librarian : You will need to log into your account to do so.  
Librarian : If a hold has been placed, it will be indicated on the record in the online catalog.
Librarian : On the main library page at the top you will see a drop down menu ""Accounts""
Student : it says not renewable
Student : Can you extend it for just 1/2 days on your side if possible?
Librarian : OK.  Then you will have to return it.  I am not authorized to do that.
Student : oh okay
Librarian : The extension that is.
Student : is there any drop off location on west campus?
Student : So that I can drop after hours?
Librarian : Yes.  There is one in Fletcher Library.  I would contact them to find out the after hours drop box.
Librarian : Location that is.
Student : so it is just in front of fletcher library ?
Librarian : I don't know.  It has been a while since I have been to Fletcher.  The staff there will be able to tell you.  Let me send you their contact information.
Librarian : [Link]
Librarian : Contact the information desk.
Student : thank you so much for the help
Librarian : Any time.
Student : have a great day
Librarian : You too.
",680,0
